provider,domain,title,benefit,conditions,code,code_required,valid_until,valid_until_note,source_url,offer_url,status,fetched_at
Epicured,epicured.com,Use code FALL40 for 40% OFF + Free Shipping* on your first subscription order,40% OFF + Free Shipping,Subscription order,FALL40,yes,,Not stated on the official page,https://epicured.com/,https://epicured.com/,active,2026-09-11T13:29:31+00:00
MamaSezz,mamasezz.com,10% off your first order,10% off,Your first order,,,,Not stated on the official page,https://www.mamasezz.com/,https://www.mamasezz.com/,active,2026-09-11T13:29:33+00:00
MamaSezz,mamasezz.com,FREE SHIPPING ON ALL ORDERS OVER $75,FREE SHIPPING,,,,,Not stated on the official page,https://www.mamasezz.com/,https://www.mamasezz.com/,active,2026-09-11T13:29:33+00:00
Icon Meals,iconmeals.com,"Click the ""get code"" buttons below to get verified and receive your discount",,,BUTTONS,yes,,Not stated on the official page,https://iconmeals.com/pages/hero,https://iconmeals.com/pages/hero,active,2026-09-11T13:29:37+00:00
Crowd Cow,crowdcow.com,Free favorites in every order,Free favorites in every order,For life,,,,Not stated on the official page,https://www.crowdcow.com/,https://www.crowdcow.com/,active,2026-09-11T13:29:38+00:00
Prep Dish,prepdish.com,"Try our free 7-day trial to find out how much easier it will be to dish up a healthy, whole-food meal your entire family will love",free 7-day trial,,,,,Not stated on the official page,https://prepdish.com/,https://prepdish.com/,active,2026-09-11T13:29:40+00:00
Chefs Plate,chefsplate.com,Chefs Plate: Get Up to 20 Free Meals + Free Shipping + $1 menu,20 Free Meals + Free Shipping,,,,,Not stated on the official page,https://www.chefsplate.com/,https://www.chefsplate.com/,active,2026-09-11T13:29:42+00:00
HelloFresh Canada,hellofresh.ca,20 Free Meals + Free Sides for Life* Get Up To 20 Free Meals + Free Sides for Life* Get Offer *One free item per box while subscripti,20 Free Meals,For Life,,,,Not stated on the official page,https://www.hellofresh.ca/,https://www.hellofresh.ca/,active,2026-09-11T13:29:43+00:00
HelloFresh Canada,hellofresh.ca,"One free item per box while subscription is active, items may vary","One free item per box while subscription is active, items may vary","Subscription is active, items may vary, for Life",,,,Not stated on the official page,https://www.hellofresh.ca/,https://www.hellofresh.ca/,active,2026-09-11T13:29:43+00:00
HelloFresh Canada,hellofresh.ca,Life* Get Offer *One free item per box while subscripti,Life* Get Offer *One free item per box while subscripti,"For Life, subscription is active, items may vary",,,,Not stated on the official page,https://www.hellofresh.ca/,https://www.hellofresh.ca/,active,2026-09-11T13:29:43+00:00
